20:34:57	23.85	26.23	2.182825339382397
20:36:01	24.22	25.49	2.254263244351517
20:37:01	23.63	26.19	2.1552770837154958
20:38:06	23.01	27.27	2.045696134898837
20:39:07	22.48	28.17	1.9564648989409579
20:40:04	22.10	28.83	1.8941664664215185
20:41:04	21.80	29.40	1.8449086540115769
20:42:01	21.55	29.76	1.8076519135723779
20:42:59	21.96	29.38	1.8635485015812083
20:44:00	22.57	28.13	1.9682879519364223
20:44:59	23.69	26.51	2.153702182791002
20:46:00	24.51	25.07	2.3066991667016503
20:46:57	24.60	24.78	2.3281275228324176
20:47:59	24.15	25.32	2.249938397607949
20:49:00	23.36	26.48	2.112135413253708
20:50:01	22.69	27.67	1.9953693587780348
20:51:01	22.26	28.35	1.925619277912101
20:52:01	21.91	28.95	1.869182681730552
20:53:00	21.66	29.46	1.8276324947141924
20:53:57	21.88	29.38	1.8544705569902602
20:55:01	22.54	28.09	1.965797877544424
20:57:01	24.07	25.59	2.2310645989600153
20:58:00	24.40	25.01	2.293393553945393
20:58:57	23.99	25.37	2.226934945384012
21:00:01	23.30	26.43	2.105928171478035
21:01:01	22.63	27.55	1.9914145011449709
21:02:01	22.18	28.23	1.919469875173947
21:03:04	21.82	28.91	1.8599844745615823
21:04:07	21.63	29.32	1.827902341278313
21:04:59	21.93	28.93	1.8719927877718383
21:06:00	22.62	27.85	1.9819648456452366
21:06:58	23.59	26.27	2.1477583186141853
21:07:59	24.26	25.07	2.2724142480915437
21:09:01	24.42	24.76	2.3037969440816206
21:10:01	23.84	25.45	2.2045788576109766
21:11:00	23.12	26.58	2.0788945244216483
21:12:03	22.55	27.55	1.9817633319753227
21:13:07	22.14	28.21	1.915331194921501
21:14:00	21.78	28.85	1.857010468000929
21:15:02	21.63	29.18	1.8315229740991812
21:16:02	21.77	29.26	1.8451815887507697
21:17:04	22.44	27.85	1.9604083274808435
21:18:01	23.52	26.25	2.1392948831792635
21:19:03	24.33	24.90	2.2871461963578352
21:20:04	24.35	24.70	2.2959869755814633
21:21:04	23.85	25.34	2.2091600899863058
21:22:05	23.14	26.40	2.0865134104431946
21:23:00	22.54	27.41	1.9843869827694303
21:23:57	22.15	28.09	1.9197021635859692
21:25:00	21.81	28.75	1.8630322157504953
21:27:03	21.97	28.55	1.8866017083178475
21:28:04	22.78	27.43	2.0129497355345394
21:29:00	24.05	25.24	2.238868390921406
21:29:58	24.46	24.47	2.3182219403878412
21:30:59	24.42	24.45	2.3132889304275177
21:32:00	23.62	25.51	2.1738232414231824
21:32:58	22.90	26.70	2.0480404826457086
21:34:01	22.39	27.55	1.962583523440418
21:35:01	21.96	28.25	1.8933673886781603
